CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;10707811.77;15984131.47
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;12562228.33;12597989.13
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;10820275.00;15964291.58
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;13473908.72;15443606.87
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;17307135.84;14617275.05
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;12510989.92;13985947.84
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;12700998.26;16157603.26
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;13510912.82;16861815.23
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;13509541.89;16280003.52
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;13994064.25;18212115.18
